filename,code,Quicksort,Mergesort,Selectionsort,Insertionsort,Bubblesort,Linear search,Binary Search,Linked List,Hashmap
0,"package Mini_algorithms;
import java.util.Iterator;
import java.util.Map;
import java.util.Set;
public abstract class AbstractMap<K,V> implements Map<K,V>{
	public boolean isEmpty(){
		return size() == 0;
	}
	protected static class MapEntry<K,V> implements Entry<K,V>{
		private K k;
		private V v;
		public MapEntry(K key, V value){
			k = key;
			v = value;
		}
		public K getKey() {
			return k;
		}
		public V getValue() {
			return v;
		}
		protected void setKey(K key){
			k = key;
		}
		public V setValue(V value) {
			V old = v;
			v = value;
			return old;
		}
	}
	private class KeyIterator implements Iterator<K>{
		private Iterator<Entry<K,V>> entries = entrySet().iterator();
		public boolean hasNext() {
			return entries.hasNext();
		}
		public K next() {
			return entries.next().getKey();
		}
		public void remove(){
			throw new UnsupportedOperationException();
		}
	}
	private class KeyIterable implements Iterable<K>{
		public Iterator<K> iterator() {
			return new KeyIterator();
		}
	}
	public Set<K> keySet() {
		return (Set<K>) new KeyIterable();
	}
	private class ValueIterator implements Iterator<V>{
		private Iterator<Entry<K,V>> entries = entrySet().iterator();
		public boolean hasNext() {
			return entries.hasNext();
		}
		public V next() {
			return entries.next().getValue();
		}
		public void remove(){
			throw new UnsupportedOperationException();
		}
	}
	private class ValueIterable implements Iterable<V>{
		public Iterator<V> iterator() {
			return new ValueIterator();
		}
	}
	public Set<V> values() {
		return (Set<V>) new ValueIterable();
	}
}",0,0,0,0,0,0,0,0,0
1,"public abstract class AbstractMap implements Map<String, String> {
    public boolean isEmpty() {
        return size() == 0;
    }
    protected static class MapEntry {
        private String k;
        private String v;
        public String getKey() {
            return k;
        }
        public String getValue() {
            return v;
        }
        protected void setKey(String key) {
            k = key;
        }
        protected String setValue(String value) {
            String old = v;
            v = value;
            return old;
        }
    }
}",0,0,0,0,0,0,0,0,0
2,"package com.ks.hashmap.basic;
import com.ks.hashmap.HashFunction;
import com.ks.hashmap.HashMap;
import com.ks.hashmap.KeyValuePair;
import java.lang.reflect.Array;
public class BasicHashMap<K, V> implements HashMap<K, V> {
    private int size = 0;
    private static final float DEFAULT_LOAD_FACTOR = 0.75f;
    private HashFunction hashFunction;
    private static final KeyValuePair<?, ?>[] EMPTY_TABLE = {};
    private KeyValuePair<K, V>[] table;
    public BasicHashMap(HashFunction hashFunction) {
        this.hashFunction = hashFunction;
        this.table = (KeyValuePair<K, V>[]) EMPTY_TABLE;
    }
    public BasicHashMap(HashFunction hashFunction, int tableLength) {
        this.hashFunction = hashFunction;
        this.table = (KeyValuePair<K, V>[]) EMPTY_TABLE;
        this.table = (KeyValuePair<K, V>[]) Array.newInstance(table.getClass().getComponentType(), tableLength);
    }
    @Override
    public HashFunction hashFunction() {
        return hashFunction;
    }
    @Override
    public int size() {
        return size;
    }
    @Override
    public float loadFactor() {
        return (table.length == 0 ? 0 : (float) size/table.length);
    }
    @Override
    public boolean empty() {
        return size == 0;
    }
    @Override
    public KeyValuePair<K, V>[] table() {
        return table;
    }
    @Override
    public void put(final K key, final V value) {
        BasicKeyValuePair<K, V> basicKeyValuePair = new BasicKeyValuePair<>(key, value, null);
        int keyIndex;
        if (!hasKey(key)) {
            size++;
            resize();
            keyIndex = keyIndexFromKey(key);
            putInBucket(keyIndex, basicKeyValuePair, table);
        } else {
            keyIndex = keyIndexFromKey(key);
            replaceInBucket(keyIndex, basicKeyValuePair);
        }
    }
    private void removeFromBucket(K key) {
        int keyIndex = keyIndexFromKey(key);
        if (table[keyIndex].getKey().equals(key)) {
            table[keyIndex] = table[keyIndex].getNext();
            return;
        }
        KeyValuePair<K, V> previous = table[keyIndex];
        KeyValuePair<K, V> next = previous.getNext();
        while (next != null) {
            if (next.getKey().equals(key)) {
                previous.setNext(next.getNext());
                return;
            }
            previous = next;
            next = next.getNext();
        }
    }
    private void replaceInBucket(int keyIndex, KeyValuePair<K, V> newKeyValuePair) {
        KeyValuePair<K, V> startingKeyValuePair = table[keyIndex];
        if (startingKeyValuePair.getKey().equals(newKeyValuePair.getKey())) {
            if (startingKeyValuePair.getNext() != null) {
                newKeyValuePair.setNext(startingKeyValuePair.getNext());
            }
            table[keyIndex] = newKeyValuePair;
        } else {
            KeyValuePair<K, V> previousKeyValuePair = startingKeyValuePair;
            KeyValuePair<K, V> nextKeyValuePair = previousKeyValuePair.getNext();
            while (nextKeyValuePair != null) {
                if (nextKeyValuePair.getKey().equals(newKeyValuePair.getKey())) {
                    if (nextKeyValuePair.getNext() != null) {
                        newKeyValuePair.setNext(nextKeyValuePair.getNext());
                    }
                    previousKeyValuePair.setNext(newKeyValuePair);
                    break;
                } else {
                    KeyValuePair<K, V> temporaryKeyValuePair = nextKeyValuePair;
                    previousKeyValuePair = nextKeyValuePair;
                    nextKeyValuePair = temporaryKeyValuePair.getNext();
                }
            }
        }
    }
    @Override
    public V get(final K key) {
        if (!hasKey(key)) {
            return null;
        }
        KeyValuePair<K, V> currentKeyValuePair = table[keyIndexFromKey(key)];
        while (!currentKeyValuePair.getKey().equals(key)) {
            currentKeyValuePair = currentKeyValuePair.getNext();
        }
        return currentKeyValuePair.getValue();
    }
    @Override
    public boolean hasKey(final K key) {
        if (empty()) {
            return false;
        }
        for (KeyValuePair keyValuePair : table) {
            if (keyValuePair != null) {
                if (keyValuePair.getKey().equals(key)) {
                    return true;
                } else {
                    while (keyValuePair.getNext() != null) {
                        if (keyValuePair.getNext().getKey().equals(key)) {
                            return true;
                        }
                        keyValuePair = keyValuePair.getNext();
                    }
                }
            }
        }
        return false;
    }
    @Override
    public boolean hasValue(final V value) {
        if (empty()) {
            return false;
        }
        for (KeyValuePair keyValuePair : table) {
            do {
                if (keyValuePair != null && keyValuePair.getValue().equals(value)) {
                    return true;
                }
                if (keyValuePair != null && keyValuePair.getNext() != null) {
                    keyValuePair = keyValuePair.getNext();
                }
            } while (keyValuePair != null && keyValuePair.getNext() != null);
        }
        return false;
    }
    @Override
    public void remove(final K key) {
        if (hasKey(key)) {
            size--;
            removeFromBucket(key);
        }
    }
    private int keyIndexFromKey(final K key, KeyValuePair<K, V>[] referenceTable) {
        int keyHash = hashFunction.hash(key);
        return Math.abs(keyHash) % referenceTable.length;
    }
    private int keyIndexFromKey(final K key) {
        return keyIndexFromKey(key, table);
    }
    private void resize() {
        float currentLoadFactor = loadFactor();
        if (currentLoadFactor > DEFAULT_LOAD_FACTOR || currentLoadFactor == 0) {
            int newSize = (int) Math.ceil((double)size/(double)DEFAULT_LOAD_FACTOR);
            KeyValuePair<K, V>[] tempTable = (KeyValuePair<K, V>[]) Array.newInstance(table.getClass().getComponentType(), newSize);
            int keyIndex;
            for (KeyValuePair<K, V> keyValuePair : table) {
                if (keyValuePair != null) {
                    KeyValuePair<K, V> insertKeyValuePair = keyValuePair.clone(keyValuePair);
                    keyIndex = keyIndexFromKey(insertKeyValuePair.getKey(), tempTable);
                    putInBucket(keyIndex, insertKeyValuePair, tempTable);
                    while (keyValuePair.getNext() != null) {
                        KeyValuePair<K, V> nextKeyValuePair = keyValuePair.getNext();
                        insertKeyValuePair = nextKeyValuePair.clone(nextKeyValuePair);
                        keyIndex = keyIndexFromKey(insertKeyValuePair.getKey(), tempTable);
                        putInBucket(keyIndex, insertKeyValuePair, tempTable);
                        keyValuePair = keyValuePair.getNext();
                    }
                }
            }
            table = tempTable;
        }
    }
    private void putInBucket(int keyIndex, KeyValuePair<K, V> newKeyValuePair, KeyValuePair<K, V>[] referenceTable) {
        KeyValuePair<K, V> currentKeyValuePair = referenceTable[keyIndex];
        if (currentKeyValuePair == null) {
            referenceTable[keyIndex] = newKeyValuePair;
        } else {
            while (currentKeyValuePair.getNext() != null) {
                currentKeyValuePair = currentKeyValuePair.getNext();
            }
            currentKeyValuePair.setNext(newKeyValuePair);
        }
    }
}",0,0,0,0,0,1,0,0,1
3,"package com.ks.hashmap.basic;
import com.ks.hashmap.KeyValuePair;
public class BasicKeyValuePair<K, V> implements KeyValuePair<K, V> {
    private K key;
    private V value;
    private KeyValuePair<K, V> next;
    public BasicKeyValuePair(K key, V value, KeyValuePair<K, V> next) {
        this.key = key;
        this.value = value;
        this.next = next;
    }
    @Override
    public K getKey() {
        return key;
    }
    @Override
    public V getValue() {
        return value;
    }
    @Override
    public KeyValuePair<K, V> getNext() {
        return next;
    }
    @Override
    public void setNext(KeyValuePair<K, V> keyValuePair) {
        this.next = keyValuePair;
    }
    @Override
    public KeyValuePair<K, V> clone(KeyValuePair<K, V> keyValuePair) {
        return new BasicKeyValuePair<K, V>(keyValuePair.getKey(), keyValuePair.getValue(), null);
    }
}",0,0,0,0,0,0,0,0,0
4,"package com.cfelde.bohmap;
import java.util.Arrays;
public final class Binary {
    private final byte[] value;
    public Binary(byte[] value) {
        if (value == null)
            throw new NullPointerException(""value is null"");
        this.value = value;
    }
    public byte[] getValue() {
        return value;
    }
    @Override
    public int hashCode() {
        int hash = 5;
        hash = 19 * hash + Arrays.hashCode(this.value);
        return hash;
    }
    @Override
    public boolean equals(Object obj) {
        if (obj == null) {
            return false;
        }
        if (getClass() != obj.getClass()) {
            return false;
        }
        final Binary other = (Binary) obj;
        return Arrays.equals(this.value, other.value);
    }
    @Override
    public String toString() {
        return ""Binary{"" + ""value=size("" + value.length + "")}"";
    }
}",0,0,0,0,0,0,0,0,0
5,"import java.util.ArrayList;
public class  BrentHashMap<K,V> extends AbstractHashMap<K,V> {
	private MapEntry<K,V>[] buckets;
	public BrentHashMap() { super(); }
	public BrentHashMap(int capacity, float loadFactor) {	super(capacity, loadFactor);}
	@SuppressWarnings(""unchecked"")
	@Override
	protected void createTable() {
		buckets = (MapEntry<K,V>[]) new MapEntry[this.capacity];
	}
	private int findEmptySlot(int index, int increment) {
		int step = 0;
		while(buckets[index] != null) {
			index = (index + increment) % buckets.length;
			step += 1;
		}
		return step; 
	}
	@Override
	protected V bucketGet(K key) {
		MapEntry<K,V> element = contains(key);
		if(element == null) return null;
		return element.getValue();
	}
	@Override
	public int getIndex(K key) {
		int index = compression(key);
		if(contains(key) != null) {
			while(buckets[index] != null ) {
				if(buckets[index].getKey().hashCode() == key.hashCode())
					return index;
				index = (index + increment(key)) % buckets.length;
			} 
		}
		return -1;
	}
	public int getCount(K key) {
		MapEntry<K,V> element = contains(key);
		if(element != null) return element.getCount();
		return -1;
	}
	@Override
	protected V bucketPut(K key, V value) {
		MapEntry<K,V> newEntry = new MapEntry<K,V>(key, value);
		MapEntry<K,V> tempEntry = newEntry;
		int index = compression(newEntry.getKey());
		int tempIndex = index;
		MapEntry<K,V> oldEntry = buckets[index];
		MapEntry<K,V> ifFound = null;
		int closestLength = 0;
		int bestI = 0; 
		int bestJ = 0;
		if(value == null) throw new IllegalArgumentException(""Given value can not be null"");
		else if(oldEntry == null) {
			buckets[index] = newEntry;
			this.size += 1;
		}
		else if((ifFound = contains(key)) != null) {  
			V temp = ifFound.getValue();
			ifFound.increaseCount();
			return temp; 
		}
		else { 
			bestI = findEmptySlot(index, increment(oldEntry.getKey()));
			bestJ = 0;
			closestLength = bestI + bestJ;
			if(findEmptySlot(index, increment(newEntry.getKey())) <= closestLength) {
				bestJ = findEmptySlot(index, increment(newEntry.getKey()));
				bestI = 0;
				closestLength = bestI + bestJ;
			}
			for(int j = 1 ; buckets[tempIndex] != null ; j++) {
				tempIndex = (index + j*increment(newEntry.getKey())) % buckets.length;
				if(buckets[tempIndex] != null) {
					if(j + findEmptySlot(tempIndex, increment(buckets[tempIndex].getKey())) < closestLength) {
						bestI = findEmptySlot(tempIndex, increment(buckets[tempIndex].getKey()));
						bestJ = j;
						closestLength = bestI + bestJ;
					}
				}
			}
			if(bestI == 0) {
				buckets[index] = oldEntry;
				buckets[(index + increment(newEntry.getKey()) * bestJ) % buckets.length] = newEntry;
			}
			else if(bestJ == 0) {
				buckets[index] = newEntry;
				buckets[(index + increment(oldEntry.getKey()) * bestI) % buckets.length] = oldEntry;
			}
			else{
				tempEntry = buckets[(index + bestJ * increment(newEntry.getKey())) % buckets.length];
				buckets[(index + bestJ * increment(newEntry.getKey()) + bestI * increment(tempEntry.getKey())) % buckets.length] = tempEntry;
		   	    buckets[(index + bestJ * increment(newEntry.getKey())) % buckets.length] = newEntry;
			}
			this.size += 1;
		}
		if(size == threshold) 
			resize();
		return null;
	}
	public MapEntry<K,V> contains(K key) {
		int index = compression(key);
		int increment = increment(key);
		int counter = 0;
		if(buckets[index] != null) {
			if(key.equals(buckets[index].getKey())) {
				return buckets[index];
			}
			else {
				while(buckets[index] != null) {
					if(buckets[index].getKey().hashCode() != key.hashCode()) {
						index = (index + increment) % buckets.length;
						counter += 1;
						if(counter >= buckets.length) {
						return null;
						}
					}
					else {
						return buckets[index];	
					}
				}	
			}	
		}
		return null;	
	}
	@Override
	protected int compression(K key) {
		int index = (key.hashCode() % buckets.length) ;
		if(index < 0)
			index += buckets.length;
		return index;
	}
	private int increment(K key) {
		int increment = (key.hashCode() / buckets.length) % buckets.length;
		if(increment == 0)
			increment = 1; 
		else if(increment < 0)
			increment += buckets.length;
		return increment;
	}
	private void resize() {
		int newCap = newPrimeCapacity();
		MapEntry<K,V>[] temp = buckets;
		this.size = 0;
		buckets = new MapEntry[newCap];
		for(MapEntry<K,V> e : temp) {
			if(e != null) {
				bucketPut(e.getKey(),e.getValue());
			}
		}
	}
	private int newPrimeCapacity() {
		int newCapacity = buckets.length * 2;
		boolean isPrime = false; 
		int counter = 0;
		do{
			for(int j = 2 ; j < newCapacity ; j++) 
				if(newCapacity % j == 0) 
					counter++;
			if(counter == 0) 
				isPrime = true;
			else {
				newCapacity += 1;
				counter = 0;
			}
		}while(!isPrime);
		threshold =(int)(loadFactor * newCapacity);
		return newCapacity;
	}
	@Override
	public Iterable<Entry<K,V>> entrySet() {
		ArrayList<Entry<K,V>> buffer = new ArrayList<>(this.capacity);
		for(Entry<K,V> element : buckets)
			buffer.add(element);
		return buffer;
	}
	@Override
	public V bucketSet(K key, V value) {
		MapEntry<K,V> element = contains(key);
		V temp = null;
		if(element != null) {
			temp = element.getValue();
			element.setValue(value);
		}
		return temp;
	}
}",0,0,0,0,0,1,0,0,1
6,"package net.intelie.tinymap;
public interface CacheableBuilder<B, T> {
    T build();
    CacheAdapter<B, T> adapter();
}",0,0,0,0,0,0,0,0,0
7,"package net.intelie.tinymap;
public interface CacheAdapter<B, T> {
    int contentHashCode(B builder);
    T contentEquals(B builder, Object cached);
    T build(B builder, ObjectCache cache);
}",0,0,0,0,0,0,0,0,0
8,"package com.jamierf.persistenthashmap;
import java.io.File;
import java.io.Serializable;
import java.util.HashMap;
import java.util.Iterator;
import java.util.Map;
import com.jamierf.persistenthashmap.serializers.OOSSerializer;
import com.jamierf.persistenthashmap.serializers.ObjectSerializer;
public class CachedPersistentHashMap<K extends Serializable, V extends Serializable> extends PersistentHashMap<K, V> {
	protected HashMap<K, V> cache;
	public CachedPersistentHashMap(File root) {
		this (root, new OOSSerializer());
	}
	public CachedPersistentHashMap(File root, ObjectSerializer serializer) {
		super(root, serializer, false);
		cache = new HashMap<K, V>();
		Iterator<Map.Entry<K, V>> iterator = new EntryIterator<K, V>(this);
		while (iterator.hasNext()) {
			Map.Entry<K, V> e = iterator.next();
			cache.put(e.getKey(), e.getValue());
		}
	}
	@Override
	public synchronized boolean containsKey(Object key) {
		return cache.containsKey(key);
	}
	@Override
	public synchronized boolean containsValue(Object v) {
		return cache.containsValue(v);
	}
	@Override
	@SuppressWarnings(""unchecked"")
	public synchronized V get(Object key) {
		if (cache.containsKey(key))
			return cache.get(key);
		V value = super.get(key);
		if (value != null)
			cache.put((K) key, value);
		return value;
	}
	@Override
	public synchronized V put(K key, V value) {
		cache.put(key, value);
		return super.put(key, value);
	}
	@Override
	public synchronized V remove(Object key) {
		cache.remove(key);
		return super.remove(key);
	}
	@Override
	public boolean isEmpty() {
		return cache.isEmpty();
	}
	@Override
	public int size() {
		return cache.size();
	}
	@Override
	public synchronized void clear() {
		cache.clear();
		super.clear();
	}
}",0,0,0,0,0,0,0,0,1
9,"package Hashtables.Chaining;
import Hashtables.Employee;
import java.util.LinkedList;
import java.util.ListIterator;
import Hashtables.LinearProbing.StoredEmployee;
public class ChainedHashtable {
    private LinkedList<StoredEmployee>[] hashtable;
    public ChainedHashtable() {
        hashtable = new LinkedList[10];
        for (int i = 0; i < hashtable.length; i++) {
            hashtable[i] = new LinkedList<StoredEmployee>();
        }
    }
    public void put(String key, Employee employee) {
        int hashedKey = hashKey(key);
        hashtable[hashedKey].add(new StoredEmployee(key, employee));
    }
    public Employee get(String key) {
        int hashedKey = hashKey(key);
        ListIterator<StoredEmployee> iterator = hashtable[hashedKey].listIterator();
        StoredEmployee employee = null;
        while (iterator.hasNext()) {
            employee = iterator.next();
            if (employee.key.equals(key)) {
                return employee.employee;
            }
        }
        return null;
    }
    public Employee remove(String key) {
        int hashedKey = hashKey(key);
        ListIterator<StoredEmployee> iterator = hashtable[hashedKey].listIterator();
        StoredEmployee employee = null;
        int index = -1;
        while (iterator.hasNext()) {
            employee = iterator.next();
            index++;
            if (employee.key.equals(key)) {
                break;
            }
        }
        if (employee == null) {
            return null;
        }
        else {
            hashtable[hashedKey].remove(index);
            return employee.employee;
        }
    }
    private int hashKey(String key) {
        return Math.abs(key.hashCode() % hashtable.length);
    }
    public void printHashtable() {
        for (int i = 0; i < hashtable.length; i++) {
            if (hashtable[i].isEmpty()) {
                System.out.println(""Position "" + i + "": empty"");
            }
            else {
                System.out.print(""Position "" + i + "": "");
                ListIterator<StoredEmployee> iterator = hashtable[i].listIterator();
                while (iterator.hasNext()) {
                    System.out.print(iterator.next().employee);
                    System.out.print(""->"");
                }
                System.out.println(""null"");
            }
        }
    }
}",0,0,0,0,0,1,0,0,1
